"111l -- Tutkinnon suorittaneiden pääasiallinen toiminta yhden ja kolmen vuoden kuluttua valmistumisesta, 2007-2023"

"Vuosi";"Koulutusaste";"Sukupuoli";"Asuinmaakunta";"Koulutusala";"Tutkinnon suorittaneet vuosi ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (%)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (lkm)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (%)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (%)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (%)";"Työttömät vuosi valmistumisen jälkeen  (lkm)";"Työttömät vuosi valmistumisen jälkeen (%)";"Muut vuosi valmistumisen jälkeen  (lkm)";"Muut vuosi valmistumisen jälkeen (%)";"Tutkinnon suorittaneet kolme vuotta ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (%)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Työttömät kolme vuotta valmistumisen jälkeen  (lkm)";"Työttömät kolme vuotta valmistumisen jälkeen (%)";"Muut kolme vuotta valmistumisen jälkeen  (lkm)";"Muut kolme vuotta valmistumisen jälkeen (%)"
"2007";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";316;228;72;189;60;39;12;27;9;45;14;16;5;420;335;80;280;67;55;13;21;5;53;13;11;3
"2008";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";272;210;77;183;67;27;10;14;5;40;15;8;3;395;311;79;267;68;44;11;21;5;42;11;21;5
"2009";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";179;121;68;95;53;26;15;8;4;40;22;10;6;313;216;69;184;59;32;10;16;5;66;21;15;5
"2010";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";141;102;72;81;57;21;15;10;7;25;18;4;3;272;202;74;175;64;27;10;14;5;44;16;12;4
"2011";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";116;86;74;76;66;10;9;6;5;18;16;6;5;178;128;72;106;60;22;12;17;10;24;13;9;5
"2012";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";139;101;73;86;62;15;11;10;7;21;15;7;5;140;101;72;90;64;11;8;9;6;23;16;7;5
"2013";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";122;86;70;74;61;12;10;9;7;24;20;3;2;116;83;72;68;59;15;13;13;11;16;14;4;3
"2014";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";129;86;67;71;55;15;12;7;5;29;22;7;5;138;93;67;71;51;22;16;8;6;28;20;9;7
"2015";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";103;75;73;70;68;5;5;5;5;19;18;4;4;122;85;70;70;57;15;12;6;5;26;21;5;4
"2016";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";102;59;58;50;49;9;9;8;8;31;30;4;4;129;93;72;76;59;17;13;11;9;17;13;8;6
"2017";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";126;75;60;61;48;14;11;7;6;29;23;15;12;103;74;72;67;65;7;7;2;2;23;22;4;4
"2018";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";129;76;59;68;53;8;6;14;11;33;26;6;5;102;71;70;60;59;11;11;6;6;17;17;8;8
"2019";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";140;92;66;81;58;11;8;16;11;29;21;3;2;124;86;69;67;54;19;15;7;6;20;16;11;9
"2020";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";137;90;66;79;58;11;8;8;6;27;20;12;9;128;85;66;72;56;13;10;8;6;27;21;8;6
"2021";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";185;104;56;87;47;17;9;12;6;55;30;14;8;139;92;66;83;60;9;6;14;10;26;19;7;5
"2022";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";127;75;59;69;54;6;5;14;11;26;20;12;9;135;98;73;90;67;8;6;9;7;20;15;8;6
"2023";"33 Ammattitutkinto";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";40;31;78;23;58;8;20;1;3;6;15;2;5;185;121;65;99;54;22;12;12;6;34;18;18;10
